question,answer,sentiment,j,cluster_id,topic_name
О чём вы хотели бы сегодня узнать?,города росатома,negatives,0,2,Topic_name
О чём вы хотели бы сегодня узнать?,перспективы и возможности,neutrals,1,4,Topic_name
О чём вы хотели бы сегодня узнать?,будущее атомной энергетики,neutrals,2,0,Topic_name
О чём вы хотели бы сегодня узнать?,"о дальнейшей судьбе росатома, о направлениях его развития. проекты аэс в россии. тяжело ли будет студенту без опыта работы попасть на работу на аэс? если балл будет ниже 4.2 (а именно такой балл и выше для поступления на работу выставляют почти на всех аэс), но обучение на специальность прошел, как дальше быть? двери на аэс закрыты?",negatives,3,1,Topic_name
О чём вы хотели бы сегодня узнать?,"как к вам попасть тем, кому за 35?",neutrals,4,1,Topic_name
О чём вы хотели бы сегодня узнать?,атомная жизнь,neutrals,5,0,Topic_name
О чём вы хотели бы сегодня узнать?,наука,neutrals,6,2,Topic_name
О чём вы хотели бы сегодня узнать?,о работе в росатом,neutrals,7,3,Topic_name
О чём вы хотели бы сегодня узнать?,текущие проекты и перспективы росатома,neutrals,8,4,Topic_name
О чём вы хотели бы сегодня узнать?,кейсы,neutrals,9,2,Topic_name
О чём вы хотели бы сегодня узнать?,строительство,neutrals,10,2,Topic_name
О чём вы хотели бы сегодня узнать?,о марафоне atomprofi),neutrals,11,3,Topic_name
О чём вы хотели бы сегодня узнать?,работа в росатоме,neutrals,12,3,Topic_name
О чём вы хотели бы сегодня узнать?,очистка редкоземельных элементов,neutrals,13,3,Topic_name
О чём вы хотели бы сегодня узнать?,росатом через 30 лет,neutrals,14,3,Topic_name
О чём вы хотели бы сегодня узнать?,квантовый компьютер,neutrals,15,2,Topic_name
О чём вы хотели бы сегодня узнать?,в какой стадии сейчас строительство аэс в бангладеш? сколько времени ещё будет длится строительство 1 блока?,neutrals,16,1,Topic_name
О чём вы хотели бы сегодня узнать?,новые продукты,positives,17,2,Topic_name
О чём вы хотели бы сегодня узнать?,как попасть в росатом,neutrals,18,3,Topic_name
О чём вы хотели бы сегодня узнать?,как получить приглашение на собеседование и работу,neutrals,19,1,Topic_name
О чём вы хотели бы сегодня узнать?,о марафоне атомпрофи и айтябре!,positives,20,3,Topic_name
